url,title,url,...
https://www.jumia.ci/beaute-pour-enfants/,Enfants - Acheter en ligne | Jumia Côte d'Ivoire,https://www.jumia.ci/beaute-pour-enfants/,{}
https://www.jumia.ci/espadrilles-hommes/,Espadrilles | Mode Homme | Jumia Côte d'Ivoire,https://www.jumia.ci/espadrilles-hommes/,{}
https://www.jumia.ci/huawei/,Huawei Shop - Acheter en ligne | Jumia Côte d'Ivoire,https://www.jumia.ci/huawei/,{}
https://www.jumia.ci/marshall/,MARSHALL Shop - Acheter en ligne | Jumia Côte d'Ivoire,https://www.jumia.ci/marshall/,{}
https://www.jumia.ci/televisions/?display_size=39.0--40.0--42.0--43.0--47.0--48.0--49.0--50.0--55.0&viewType=gridView&sort=Price%3A+Low+to+High&dir=asc,Télévisions | Smart TV et LED en ligne | Jumia Côte d’Ivoire,https://www.jumia.ci/televisions/?display_size=39.0--40.0--42.0--43.0--47.0--48.0--49.0--50.0--55.0&viewType=gridView&sort=Price%3A+Low+to+High&dir=asc,{}
https://www.jumia.ci/chaussures-de-sport-homme/,Chaussures de Sport - Acheter en ligne | Jumia Côte d'Ivoire,https://www.jumia.ci/chaussures-de-sport-homme/,{}
https://www.jumia.ci/pantalons-shorts/,"Pantalons, leggings & shorts femme en ligne Côte d'Ivoire | Jumia.ci",https://www.jumia.ci/pantalons-shorts/,{}
https://www.jumia.ci/parfums-femme/,Parfums Femme - Acheter en ligne | Jumia Côte d'Ivoire,https://www.jumia.ci/parfums-femme/,{}
https://www.food.jumia.ci//,Livraison à domicile | Commandez vos repas en ligne | Jumia Food,https://food.jumia.ci/,{}
https://www.jumia.ci/lenovo/,Lenovo Cote d'Ivoire | Boutique en ligne de tablettes | Jumia.ci,https://www.jumia.ci/lenovo/,{}
https://deals.jumia.ci//,Site d'annonces gratuites en Côte d'Ivoire - Jumia Deals (Vendito),https://deals.jumia.ci//,{}
https://www.jumia.ci/aldo/,ALDO Shop - Acheter en ligne | Jumia Côte d'Ivoire,https://www.jumia.ci/aldo/,{}
https://www.jumia.ci/bijoux-homme/,Bijoux Homme - Acheter en ligne | Jumia Côte d'Ivoire,https://www.jumia.ci/bijoux-homme/,{}
https://www.jumia.ci/designer-ciss-st-moise/,Ciss Saint Moïse | designer | Jumia.ci,https://www.jumia.ci/designer-ciss-st-moise/,{}
https://www.jumia.ci/accessoires-photo/,Accessoires photo - Acheter en ligne | Jumia Côte d'Ivoire,https://www.jumia.ci/accessoires-photo/,{}
https://www.jumia.ci/mode-femme/zara/?viewType=gridView3,Mode Femme ZARA - Acheter en ligne | Jumia Côte d'Ivoire,https://www.jumia.ci/mode-femme/zara/?viewType=gridView3,{}
https://www.jumia.ci/telephonie/lg/,Téléphonie LG - Acheter en ligne | Jumia Côte d'Ivoire,https://www.jumia.ci/telephonie/lg/,{}
